year,univ_cd,deungrok_gb,namyeo_gb,inwon_euiye_11,inwon_euiye_12,inwon_euiye_21,inwon_euiye_22,inwon_euihak_11,inwon_euihak_12,inwon_euihak_21,inwon_euihak_22,inwon_euihak_31,inwon_euihak_32,inwon_euihak_41,inwon_euihak_42,inwon_tot,inwon_woiguk
2019-09-03 15:59:53.536000,YYYY-MM-DD HH24:MI:SS.FF,univ30,,,,,,,,,,,,,,,
2019-09-04 11:43:41.038000,YYYY-MM-DD HH24:MI:SS.FF,univ39,,,,,,,,,,,,,,,
2019-09-04 11:43:41.044000,YYYY-MM-DD HH24:MI:SS.FF,univ39,,,,,,,,,,,,,,,
2019-09-04 12:19:53.121000,YYYY-MM-DD HH24:MI:SS.FF,univ39,,,,,,,,,,,,,,,
2019-09-04 12:19:53.118000,YYYY-MM-DD HH24:MI:SS.FF,univ39,,,,,,,,,,,,,,,
2019-08-22 16:23:41.771000,YYYY-MM-DD HH24:MI:SS.FF,univ07,,,,,,,,,,,,,,,
2019-08-22 16:23:41.776000,YYYY-MM-DD HH24:MI:SS.FF,univ07,,,,,,,,,,,,,,,
2019-08-22 16:23:41.779000,YYYY-MM-DD HH24:MI:SS.FF,univ07,,,,,,,,,,,,,,,
2019-08-22 16:23:41.783000,YYYY-MM-DD HH24:MI:SS.FF,univ07,,,,,,,,,,,,,,,
2019-08-22 16:23:41.785000,YYYY-MM-DD HH24:MI:SS.FF,univ07,,,,,,,,,,,,,,,
2019-08-22 16:23:41.788000,YYYY-MM-DD HH24:MI:SS.FF,univ07,,,,,,,,,,,,,,,
2019-08-22 16:23:41.794000,YYYY-MM-DD HH24:MI:SS.FF,univ07,,,,,,,,,,,,,,,
2019-08-22 16:23:41.797000,YYYY-MM-DD HH24:MI:SS.FF,univ07,,,,,,,,,,,,,,,
2019-08-22 16:23:41.806000,YYYY-MM-DD HH24:MI:SS.FF,univ07,,,,,,,,,,,,,,,
2019-08-22 16:23:41.806000,YYYY-MM-DD HH24:MI:SS.FF,univ07,,,,,,,,,,,,,,,
2019-08-26 16:41:41.741000,YYYY-MM-DD HH24:MI:SS.FF,univ05,,,,,,,,,,,,,,,
2019-08-26 16:42:49.624000,YYYY-MM-DD HH24:MI:SS.FF,univ05,,,,,,,,,,,,,,,
2019-08-26 16:42:49.624000,YYYY-MM-DD HH24:MI:SS.FF,univ05,,,,,,,,,,,,,,,
2019-08-26 16:41:41.741000,YYYY-MM-DD HH24:MI:SS.FF,univ05,,,,,,,,,,,,,,,
2019-08-26 16:41:41.756000,YYYY-MM-DD HH24:MI:SS.FF,univ05,,,,,,,,,,,,,,,
2019-08-26 16:41:41.756000,YYYY-MM-DD HH24:MI:SS.FF,univ05,,,,,,,,,,,,,,,
2019-08-29 18:19:20.323000,YYYY-MM-DD HH24:MI:SS.FF,univ03,,,,,,,,,,,,,,,
