year,univ_cd,gyosil_seq,gyosil_gb,inwon_jeonim_tot_gyosu,inwon_jeonim_tot_bugyosu,inwon_jeonim_tot_jogyosu,inwon_jeonim_male_tot,inwon_jeonim_female_tot,inwon_jeonim_tot_tot,inwon_bongyo,inwon_bijeonim_tot,inwon_jeonim_female_jogyosu,inwon_jeonim_female_bugyosu,inwon_jeonim_male_jogyosu,inwon_bi_euihakgwa,inwon_jeonim_male_gyosu,inwon_jeonim_female_gyosu,inwon_jeonim_male_bugyosu,inwon_bijeonim_imsang,inwon_bijeonim_yeongu,inwon_bijeonim_gita
2020-09-08 12:36:20.681000,YYYY-MM-DD HH24:MI:SS.FF,univ07,,,,,,,,,,,,,,,,,,,
2020-09-08 12:36:20.681000,YYYY-MM-DD HH24:MI:SS.FF,univ07,,,,,,,,,,,,,,,,,,,
2019,UNIV05,12,12,1,0,0,1,0,1,1,0,0,0,0,0,1,0,0,0,0,0
2020-09-08 12:36:20.650000,YYYY-MM-DD HH24:MI:SS.FF,univ07,,,,,,,,,,,,,,,,,,,
2020-09-08 12:30:31.613000,YYYY-MM-DD HH24:MI:SS.FF,univ07,,,,,,,,,,,,,,,,,,,
2020-09-08 12:34:58.526000,YYYY-MM-DD HH24:MI:SS.FF,univ07,,,,,,,,,,,,,,,,,,,
2020-09-08 12:39:48.663000,YYYY-MM-DD HH24:MI:SS.FF,univ07,,,,,,,,,,,,,,,,,,,
2020-09-10 14:19:51.709000,YYYY-MM-DD HH24:MI:SS.FF,univ31,,,,,,,,,,,,,,,,,,,
2020-09-10 15:20:31.670000,YYYY-MM-DD HH24:MI:SS.FF,univ31,,,,,,,,,,,,,,,,,,,
2020-09-10 16:16:25.418000,YYYY-MM-DD HH24:MI:SS.FF,univ31,,,,,,,,,,,,,,,,,,,
2020-09-10 15:42:31.865000,YYYY-MM-DD HH24:MI:SS.FF,univ31,,,,,,,,,,,,,,,,,,,
2020-09-11 14:35:19.482000,YYYY-MM-DD HH24:MI:SS.FF,univ31,,,,,,,,,,,,,,,,,,,
2020-09-10 15:07:56.879000,YYYY-MM-DD HH24:MI:SS.FF,univ31,,,,,,,,,,,,,,,,,,,
