year,univ_cd,janghak_gb,suhye_inwon_tot_euihak,suhye_amt_tot_euihak,suhye_inwon_tot_euiye,suhye_amt_tot_euiye,euiye_bigo,euihak_bigo
2021-10-07 16:09:13.739000,YYYY-MM-DD HH24:MI:SS.FF,univ09,,,,,,
2021-10-07 16:10:07.064000,YYYY-MM-DD HH24:MI:SS.FF,univ09,,,,,,
2021-10-07 16:13:23.290000,YYYY-MM-DD HH24:MI:SS.FF,univ09,,,,,,
2021-09-02 17:46:25.009000,YYYY-MM-DD HH24:MI:SS.FF,univ06,,,,,,
2021-09-02 17:46:25.024000,YYYY-MM-DD HH24:MI:SS.FF,univ06,,,,,,
2021-09-02 17:46:25.024000,YYYY-MM-DD HH24:MI:SS.FF,univ06,,,,,,
2021-09-23 15:22:13.112000,YYYY-MM-DD HH24:MI:SS.FF,univ16,,,,,,
2021-09-23 15:22:13.114000,YYYY-MM-DD HH24:MI:SS.FF,univ16,,,,,,
2021-09-23 15:22:13.116000,YYYY-MM-DD HH24:MI:SS.FF,univ16,,,,,,
2021-09-28 14:41:53.835000,YYYY-MM-DD HH24:MI:SS.FF,univ25,,,,,,
2021-09-14 08:57:58.371000,YYYY-MM-DD HH24:MI:SS.FF,univ25,,,,,,
